sid,time_iso,time_ns,lat,lon
b'1980200N25270',1980-07-21T11:59:59.999959744,333028799999959744,32.880001068115234,-97.23999786376952
b'1980200N25270',1980-07-21T11:59:59.999959744,333028799999959744,33.29999923706055,-97.37999725341795
b'1980204N23287',1980-07-21T23:59:59.999959744,333071999999959744,21.030000686645508,-77.83999633789062
b'1980204N23287',1980-07-22T02:59:59.999959744,333082799999959744,21.399999618530277,-77.4375
b'1980204N23287',1980-07-22T02:59:59.999959744,333082799999959744,20.6299991607666,-77.15750122070312
b'1980204N23287',1980-07-22T05:59:59.999959744,333093599999959744,21.690000534057617,-75.12999725341797
b'1980204N23287',1980-07-22T08:59:59.999959744,333104399999959744,22.427499771118164,-75.31500244140625
b'1980204N23287',1980-07-22T11:59:59.999959744,333115199999959744,23.420000076293945,-74.84000396728516
b'1980204N23287',1980-07-22T11:59:59.999959744,333115199999959744,23.560001373291016,-73.79000091552734
b'1980204N23287',1980-07-22T14:59:59.999959744,333125999999959744,23.782501220703125,-74.42250061035156
b'1980204N23287',1980-07-22T17:59:59.999959744,333136799999959744,24.030000686645508,-73.4699935913086
b'1980204N23287',1980-07-22T20:59:59.999959744,333147599999959744,23.442501068115234,-78.05500030517578
b'1980204N23287',1980-07-22T23:59:59.999959744,333158399999959744,25.809999465942383,-80.58000183105469
b'1980204N23287',1980-07-22T23:59:59.999959744,333158399999959744,24.34000015258789,-76.3800048828125
b'1980204N23287',1980-07-23T02:59:59.999959744,333169199999959744,24.707500457763672,-80.54500579833984
b'1980204N23287',1980-07-23T05:59:59.999959744,333179999999959744,31.630001068115234,-81.74000549316406
b'1980204N23287',1980-07-23T05:59:59.999959744,333179999999959744,28.060001373291016,-78.0999984741211
b'1980204N23287',1980-07-23T08:59:59.999959744,333190799999959744,28.377500534057617,-78.77250671386719
b'1980204N23287',1980-07-23T11:59:59.999959744,333201599999959744,28.809999465942383,-75.84000396728516
b'1980204N23287',1980-07-23T14:59:59.999959744,333212399999959744,28.237499237060547,-75.42250061035156
b'1980204N23287',1980-07-23T17:59:59.999959744,333223199999959744,28.209999084472656,-77.41999816894531
b'1980204N23287',1980-07-23T20:59:59.999959744,333233999999959744,28.80249786376953,-76.5374984741211
b'1980204N23287',1980-07-23T23:59:59.999959744,333244799999959744,29.6299991607666,-80.41000366210938
b'1980204N23287',1980-07-24T02:59:59.999959744,333255599999959744,34.290000915527344,-77.99250030517578
b'1980204N23287',1980-07-24T05:59:59.999959744,333266399999959744,34.04999923706055,-74.42000579833984
b'1980204N23287',1980-07-24T08:59:59.999959744,333277199999959744,33.29750061035156,-72.5475082397461
b'1980204N23287',1980-07-24T11:59:59.999959744,333287999999959744,32.529998779296875,-71.11000061035156
b'1980204N23287',1980-07-24T14:59:59.999959744,333298799999959744,30.917499542236328,-72.11750030517578
b'1980204N23287',1980-07-24T14:59:59.999959744,333298799999959744,31.05749893188477,-70.92750549316406
b'1980204N23287',1980-07-24T17:59:59.999959744,333309599999959744,30.40999794006348,-72.5
b'1980204N23287',1980-07-24T17:59:59.999959744,333309599999959744,30.61999893188477,-70.81999969482422
b'1980204N23287',1980-07-24T20:59:59.999959744,333320399999959744,30.834997177124023,-71.27750396728516
b'1980204N23287',1980-07-25T05:59:59.999959744,333352799999959744,38.31999969482422,-63.0
b'1980204N23287',1980-07-25T08:59:59.999959744,333363599999959744,37.19249725341797,-62.81499862670898
b'1980204N23287',1980-07-25T11:59:59.999959744,333374399999959744,35.7400016784668,-62.73999786376953
b'1980204N23287',1980-07-25T14:59:59.999959744,333385199999959744,35.497501373291016,-62.144996643066406
b'1980204N23287',1980-07-25T17:59:59.999959744,333395999999959744,34.470001220703125,-61.869998931884766
b'1980204N23287',1980-07-25T20:59:59.999959744,333406799999959744,35.83250045776367,-60.84000015258789
b'1980204N23287',1980-07-25T23:59:59.999959744,333417599999959744,42.28999710083008,-57.84000015258789
b'1980249N28269',1980-09-04T17:59:59.999959744,336938399999959744,31.170000076293945,-87.16999816894531
b'1980249N28269',1980-09-04T20:59:59.999959744,336949199999959744,30.537498474121094,-89.36250305175781
b'1980249N28269',1980-09-04T23:59:59.999959744,336959999999959744,22.979999542236328,-87.45000457763672
b'1980249N28269',1980-09-04T23:59:59.999959744,336959999999959744,24.799999237060547,-87.31000518798828
b'1980249N28269',1980-09-05T05:59:59.999959744,336981599999959744,21.959999084472656,-90.19001007080078
b'1980249N28269',1980-09-05T08:59:59.999959744,336992399999959744,23.17250061035156,-90.03250885009766
b'1980249N28269',1980-09-05T11:59:59.999959744,337003199999959744,34.04999923706055,-92.33000183105467
b'1980249N28269',1980-09-05T14:59:59.999959744,337013999999959744,29.19999885559082,-90.66250610351562
b'1980249N28269',1980-09-05T17:59:59.999959744,337024799999959744,28.979999542236328,-90.38999938964844
b'1980249N28269',1980-09-05T20:59:59.999959744,337035599999959744,27.28249931335449,-91.25
b'1980249N28269',1980-09-05T23:59:59.999959744,337046399999959744,25.549999237060547,-98.4000015258789
b'1980249N28269',1980-09-05T23:59:59.999959744,337046399999959744,24.28999900817871,-95.38999938964844
b'1980249N28269',1980-09-06T02:59:59.999959744,337057199999959744,26.0049991607666,-98.25
b'1980249N28269',1980-09-06T02:59:59.999959744,337057199999959744,25.934999465942383,-99.44000244140624
b'1980249N28269',1980-09-06T08:59:59.999959744,337078799999959744,25.98000144958496,-103.34500122070312
b'1980249N28269',1980-09-06T11:59:59.999959744,337089599999959744,22.170000076293945,-104.83999633789062
b'1980249N28269',1980-09-06T11:59:59.999959744,337089599999959744,22.520000457763672,-105.19000244140624
b'1980249N28269',1980-09-06T17:59:59.999959744,337111199999959744,22.84000015258789,-106.1300048828125
b'1980249N28269',1980-09-06T17:59:59.999959744,337111199999959744,22.559999465942383,-106.27000427246094
b'1980249N28269',1980-09-06T23:59:59.999959744,337132799999959744,24.450000762939453,-101.87001037597656
b'1980249N28269',1980-09-07T02:59:59.999959744,337143599999959744,27.25,-102.25250244140624
b'1980249N28269',1980-09-07T05:59:59.999959744,337154399999959744,28.020000457763672,-102.29000091552734
b'1980249N28269',1980-09-07T08:59:59.999959744,337165199999959744,28.93000030517578,-99.75499725341795
b'1980249N28269',1980-09-07T11:59:59.999959744,337175999999959744,29.209999084472656,-98.66999816894533
b'1980265N15283',1980-09-20T14:59:59.999959744,338309999999959744,14.417500495910645,-76.47749328613281
b'1980265N15283',1980-09-20T14:59:59.999959744,338309999999959744,14.487500190734863,-75.56749725341797
b'1980265N15283',1980-09-20T17:59:59.999959744,338320799999959744,14.170000076293944,-77.29999542236328
b'1980265N15283',1980-09-20T20:59:59.999959744,338331599999959744,13.857500076293944,-76.86750030517578
b'1980265N15283',1980-09-20T23:59:59.999959744,338342399999959744,12.970000267028809,-77.68000030517578
b'1980265N15283',1980-09-20T23:59:59.999959744,338342399999959744,14.15999984741211,-79.07999420166016
b'1980265N15283',1980-09-21T02:59:59.999959744,338353199999959744,11.760000228881836,-78.52750396728516
b'1980265N15283',1980-09-21T05:59:59.999959744,338363999999959744,7.050000190734863,-80.83000183105469
b'1980265N15283',1980-09-21T11:59:59.999959744,338385599999959744,21.38999938964844,-82.86000061035156
b'1980265N15283',1980-09-21T14:59:59.999959744,338396399999959744,15.862500190734863,-82.97750091552734
b'1980265N15283',1980-09-21T17:59:59.999959744,338407199999959744,16.360000610351562,-83.56999969482422
b'1980265N15283',1980-09-21T20:59:59.999959744,338417999999959744,16.912500381469727,-83.93999481201172
b'1980265N15283',1980-09-21T23:59:59.999959744,338428799999959744,16.56999969482422,-85.29000091552734
b'1980265N15283',1980-09-22T05:59:59.999959744,338450399999959744,8.770000457763672,-85.50999450683594
b'1980265N15283',1980-09-22T11:59:59.999959744,338471999999959744,25.63999938964844,-86.61000061035156
b'1980265N15283',1980-09-22T14:59:59.999959744,338482799999959744,18.752498626708984,-86.44500732421875
b'1980265N15283',1980-09-22T17:59:59.999959744,338493599999959744,18.75,-84.84000396728516
b'1980265N15283',1980-09-22T20:59:59.999959744,338504399999959744,18.20249938964844,-86.67999267578125
b'1980265N15283',1980-09-22T23:59:59.999959744,338515199999959744,15.439998626708984,-86.06999969482422
b'1980265N15283',1980-09-23T05:59:59.999959744,338536799999959744,18.470001220703125,-86.19000244140625
b'1980265N15283',1980-09-23T05:59:59.999959744,338536799999959744,17.84000015258789,-87.7300033569336
b'1980265N15283',1980-09-23T11:59:59.999959744,338558399999959744,20.13999938964844,-86.72000122070312
b'1980265N15283',1980-09-23T14:59:59.999959744,338569199999959744,19.252498626708984,-87.98249816894531
b'1980265N15283',1980-09-23T17:59:59.999959744,338579999999959744,18.809999465942383,-92.56999969482422
b'1980265N15283',1980-09-23T20:59:59.999959744,338590799999959744,18.650001525878903,-92.37999725341795
b'1980265N15283',1980-09-23T23:59:59.999959744,338601599999959744,18.07999992370605,-91.2800064086914
b'1980265N15283',1980-09-24T02:59:59.999959744,338612399999959744,17.684999465942383,-92.57500457763672
b'1980265N15283',1980-09-24T02:59:59.999959744,338612399999959744,17.474998474121094,-92.8550033569336
b'1980265N15283',1980-09-24T05:59:59.999959744,338623199999959744,18.170000076293945,-93.77000427246094
b'1980265N15283',1980-09-24T08:59:59.999959744,338633999999959744,16.40999984741211,-94.97250366210938
b'1980265N15283',1980-09-24T11:59:59.999959744,338644799999959744,14.300000190734863,-95.85000610351562
b'1980265N15283',1980-09-24T14:59:59.999959744,338655599999959744,15.017500877380373,-95.86000061035156
b'1980265N15283',1980-09-24T17:59:59.999959744,338666399999959744,14.670000076293944,-95.23999786376952
b'1980265N15283',1980-09-24T20:59:59.999959744,338677199999959744,14.960000991821287,-95.15999603271484
b'1980265N15283',1980-09-24T23:59:59.999959744,338687999999959744,15.74000072479248,-95.5
